Place URL,Place Name,avg_rating,Reviewer Name,Rating,Review Date,Review URL,Review Text
https://www.google.com/maps/place/Chamunda+Resturant/data=!4m7!3m6!1s0x3be04e2fbcad3db9:0xd1ee364aa0ba41c8!8m2!3d21.1654395!4d72.8415809!16s%2Fg%2F11g6xp_9k6!19sChIJuT2tvC9O4DsRyEG6oEo27tE?authuser=0&hl=en&rclk=1,Chamunda Resturant,3.9,Dhiraj Swami,4 stars,2020-04-09,https://maps.app.goo.gl/2Ve9vo1vK5Vv67Eu8,Reasonable price & good food  
https://www.google.com/maps/place/Chamunda+Resturant/data=!4m7!3m6!1s0x3be04e2fbcad3db9:0xd1ee364aa0ba41c8!8m2!3d21.1654395!4d72.8415809!16s%2Fg%2F11g6xp_9k6!19sChIJuT2tvC9O4DsRyEG6oEo27tE?authuser=0&hl=en&rclk=1,Chamunda Resturant,3.9,Shoaib Qureshi,1 star,2019-04-09,https://maps.app.goo.gl/xJnbspin1uAHozQQ9,Very Bad  
https://www.google.com/maps/place/Chamunda+Resturant/data=!4m7!3m6!1s0x3be04e2fbcad3db9:0xd1ee364aa0ba41c8!8m2!3d21.1654395!4d72.8415809!16s%2Fg%2F11g6xp_9k6!19sChIJuT2tvC9O4DsRyEG6oEo27tE?authuser=0&hl=en&rclk=1,Chamunda Resturant,3.9,Divyang Sutariya,5 stars,2018-04-09,https://maps.app.goo.gl/atDKuNhnw6mu25xt9,Sweetest Tea Provider  
https://www.google.com/maps/place/Chamunda+Resturant/data=!4m7!3m6!1s0x3be04e2fbcad3db9:0xd1ee364aa0ba41c8!8m2!3d21.1654395!4d72.8415809!16s%2Fg%2F11g6xp_9k6!19sChIJuT2tvC9O4DsRyEG6oEo27tE?authuser=0&hl=en&rclk=1,Chamunda Resturant,3.9,yogesh Patel,2 stars,2021-04-09,https://maps.app.goo.gl/vKY1FDnUdarZHu9eA,Selfish giant  
https://www.google.com/maps/place/Chamunda+Resturant/data=!4m7!3m6!1s0x3be04e2fbcad3db9:0xd1ee364aa0ba41c8!8m2!3d21.1654395!4d72.8415809!16s%2Fg%2F11g6xp_9k6!19sChIJuT2tvC9O4DsRyEG6oEo27tE?authuser=0&hl=en&rclk=1,Chamunda Resturant,3.9,OM PRAKASH DUBEY (Pandit Ji),5 stars,2020-04-09,https://maps.app.goo.gl/pjRD3BwVRwuqtvK59,Kadodra letter Gujarat India  
https://www.google.com/maps/place/Chamunda+Resturant/data=!4m7!3m6!1s0x3be04e2fbcad3db9:0xd1ee364aa0ba41c8!8m2!3d21.1654395!4d72.8415809!16s%2Fg%2F11g6xp_9k6!19sChIJuT2tvC9O4DsRyEG6oEo27tE?authuser=0&hl=en&rclk=1,Chamunda Resturant,3.9,Nareshkumar Baraiya,1 star,2023-04-09,https://maps.app.goo.gl/C7b4h7UVYRA1WEu49,"I don't understand,  "
https://www.google.com/maps/place/Chamunda+Resturant/data=!4m7!3m6!1s0x3be04e2fbcad3db9:0xd1ee364aa0ba41c8!8m2!3d21.1654395!4d72.8415809!16s%2Fg%2F11g6xp_9k6!19sChIJuT2tvC9O4DsRyEG6oEo27tE?authuser=0&hl=en&rclk=1,Chamunda Resturant,3.9,Arif auto,3 stars,2019-04-09,https://maps.app.goo.gl/ZP1BP3wANxmERucQA,Juniper  
https://www.google.com/maps/place/Chamunda+Resturant/data=!4m7!3m6!1s0x3be04e2fbcad3db9:0xd1ee364aa0ba41c8!8m2!3d21.1654395!4d72.8415809!16s%2Fg%2F11g6xp_9k6!19sChIJuT2tvC9O4DsRyEG6oEo27tE?authuser=0&hl=en&rclk=1,Chamunda Resturant,3.9,Praveen choudhary Praveen,5 stars,2021-04-09,https://maps.app.goo.gl/cM5VBGpYa7xMHzHF9,  
https://www.google.com/maps/place/Chamunda+Resturant/data=!4m7!3m6!1s0x3be04e2fbcad3db9:0xd1ee364aa0ba41c8!8m2!3d21.1654395!4d72.8415809!16s%2Fg%2F11g6xp_9k6!19sChIJuT2tvC9O4DsRyEG6oEo27tE?authuser=0&hl=en&rclk=1,Chamunda Resturant,3.9,Rajesh Gujarat police,5 stars,2021-04-09,https://maps.app.goo.gl/mEnp9fFt4138Va5UA,  
https://www.google.com/maps/place/Chamunda+Resturant/data=!4m7!3m6!1s0x3be04e2fbcad3db9:0xd1ee364aa0ba41c8!8m2!3d21.1654395!4d72.8415809!16s%2Fg%2F11g6xp_9k6!19sChIJuT2tvC9O4DsRyEG6oEo27tE?authuser=0&hl=en&rclk=1,Chamunda Resturant,3.9,Bhavar Purohit,5 stars,2021-04-09,https://maps.app.goo.gl/eqBgHZ7GUg6x87qm6,  
